X,Y,,,,,,value
19,36,,,,,,Pass
18,36,,,,,,Pass
17,36,,,,,,Pass
16,36,,,,,,Pass
15,36,,,,,,Pass
14,36,,,,,,Pass
13,36,,,,,,Pass
12,36,,,,,,Pass
11,36,,,,,,Pass
10,36,,,,,,Pass
9,36,,,,,,Pass
8,36,,,,,,Pass
7,36,,,,,,Pass
5,36,,,,,,Pass
4,36,,,,,,Pass
3,36,,,,,,Pass
2,36,,,,,,Pass
1,36,,,,,,Pass
0,36,,,,,,Pass
-1,36,,,,,,Pass
-2,36,,,,,,Pass
-3,36,,,,,,Pass
-4,36,,,,,,Pass
-5,36,,,,,,Pass
-6,36,,,,,,Pass
-7,36,,,,,,Pass
-8,36,,,,,,Pass
-9,36,,,,,,Pass
-10,36,,,,,,Pass
-11,36,,,,,,Pass
-13,36,,,,,,Pass
-14,36,,,,,,Pass
-15,36,,,,,,Pass
-16,36,,,,,,Pass
-17,36,,,,,,Pass
-18,36,,,,,,Pass
-18,35,,,,,,Pass
-17,35,,,,,,Pass
-15,35,,,,,,Pass
-14,35,,,,,,Pass
-13,35,,,,,,Pass
-12,35,,,,,,Pass
-11,35,,,,,,Pass
-10,35,,,,,,Pass
-9,35,,,,,,Pass
-8,35,,,,,,Pass
-7,35,,,,,,Pass
-6,35,,,,,,Pass
-5,35,,,,,,Pass
-4,35,,,,,,Pass
-3,35,,,,,,Pass
-2,35,,,,,,Pass
-1,35,,,,,,Pass
0,35,,,,,,Pass
1,35,,,,,,Pass
2,35,,,,,,Pass
3,35,,,,,,Pass
4,35,,,,,,Pass
5,35,,,,,,Pass
6,35,,,,,,Pass
7,35,,,,,,Pass
8,35,,,,,,Pass
9,35,,,,,,Pass
10,35,,,,,,Pass
11,35,,,,,,Pass
12,35,,,,,,Pass
13,35,,,,,,Pass
14,35,,,,,,Pass
15,35,,,,,,Pass
16,35,,,,,,Pass
17,35,,,,,,Pass
18,35,,,,,,Pass
19,35,,,,,,Pass
20,35,,,,,,Pass
21,35,,,,,,Pass
22,35,,,,,,Pass
23,35,,,,,,Pass
24,35,,,,,,Pass
25,35,,,,,,Pass
26,35,,,,,,Pass
27,35,,,,,,Pass
28,35,,,,,,Pass
29,35,,,,,,Pass
30,34,,,,,,Pass
29,34,,,,,,Pass
28,34,,,,,,Pass
27,34,,,,,,Pass
26,34,,,,,,Pass
25,34,,,,,,Pass
24,34,,,,,,Pass
22,34,,,,,,Pass
21,34,,,,,,Pass
20,34,,,,,,Pass
19,34,,,,,,Pass
18,34,,,,,,Pass
17,34,,,,,,Pass
16,34,,,,,,Pass
15,34,,,,,,Pass
14,34,,,,,,Pass
13,34,,,,,,Pass
12,34,,,,,,Pass
11,34,,,,,,Pass
9,34,,,,,,Pass
7,34,,,,,,Pass
6,34,,,,,,Pass
5,34,,,,,,Pass
4,34,,,,,,Pass
3,34,,,,,,Pass
2,34,,,,,,Pass
1,34,,,,,,Pass
0,34,,,,,,Pass
-1,34,,,,,,Pass
-2,34,,,,,,Pass
-3,34,,,,,,Pass
-4,34,,,,,,Pass
-5,34,,,,,,Pass
-6,34,,,,,,Pass
-7,34,,,,,,Pass
-8,34,,,,,,Pass
-9,34,,,,,,Pass
-10,34,,,,,,Pass
-11,34,,,,,,Pass
-12,34,,,,,,Pass
-13,34,,,,,,Pass
-14,34,,,,,,Pass
-15,34,,,,,,Pass
-16,34,,,,,,Pass
-17,34,,,,,,Pass
-18,34,,,,,,Pass
-19,33,,,,,,Pass
-18,33,,,,,,Pass
-17,33,,,,,,Pass
-16,33,,,,,,Pass
-15,33,,,,,,Pass
-14,33,,,,,,Pass
-13,33,,,,,,Pass
-12,33,,,,,,Pass
-11,33,,,,,,Pass
-10,33,,,,,,Pass
-9,33,,,,,,Pass
-8,33,,,,,,Pass
-7,33,,,,,,Pass
-6,33,,,,,,Pass
-5,33,,,,,,Pass
-4,33,,,,,,Pass
-3,33,,,,,,Pass
-2,33,,,,,,Pass
0,33,,,,,,Pass
1,33,,,,,,Pass
2,33,,,,,,Pass
3,33,,,,,,Pass
4,33,,,,,,Pass
5,33,,,,,,Pass
6,33,,,,,,Pass
7,33,,,,,,Pass
8,33,,,,,,Pass
9,33,,,,,,Pass
10,33,,,,,,Pass
11,33,,,,,,Pass
12,33,,,,,,Pass
14,33,,,,,,Pass
15,33,,,,,,Pass
16,33,,,,,,Pass
17,33,,,,,,Pass
18,33,,,,,,Pass
19,33,,,,,,Pass
20,33,,,,,,Pass
21,33,,,,,,Pass
22,33,,,,,,Pass
23,33,,,,,,Pass
25,33,,,,,,Pass
26,33,,,,,,Pass
27,33,,,,,,Pass
28,33,,,,,,Pass
29,33,,,,,,Pass
30,33,,,,,,Pass
30,32,,,,,,Pass
29,32,,,,,,Pass
28,32,,,,,,Pass
27,32,,,,,,Pass
26,32,,,,,,Pass
25,32,,,,,,Pass
24,32,,,,,,Pass
23,32,,,,,,Pass
22,32,,,,,,Pass
21,32,,,,,,Pass
20,32,,,,,,Pass
19,32,,,,,,Pass
18,32,,,,,,Pass
17,32,,,,,,Pass
16,32,,,,,,Pass
15,32,,,,,,Pass
14,32,,,,,,Pass
13,32,,,,,,Pass
12,32,,,,,,Pass
11,32,,,,,,Pass
10,32,,,,,,Pass
9,32,,,,,,Pass
8,32,,,,,,Pass
7,32,,,,,,Pass
6,32,,,,,,Pass
5,32,,,,,,Pass
3,32,,,,,,Pass
2,32,,,,,,Pass
1,32,,,,,,Pass
0,32,,,,,,Pass
-1,32,,,,,,Pass
-2,32,,,,,,Pass
-3,32,,,,,,Pass
-4,32,,,,,,Pass
-5,32,,,,,,Pass
-6,32,,,,,,Pass
-7,32,,,,,,Pass
-8,32,,,,,,Pass
-9,32,,,,,,Pass
-10,32,,,,,,Pass
-11,32,,,,,,Pass
-12,32,,,,,,Pass
-13,32,,,,,,Pass
-14,32,,,,,,Pass
-15,32,,,,,,Pass
-16,32,,,,,,Pass
-17,32,,,,,,Pass
-18,32,,,,,,Pass
-19,32,,,,,,Pass
-19,31,,,,,,Pass
-18,31,,,,,,Pass
-17,31,,,,,,Pass
-16,31,,,,,,Pass
-15,31,,,,,,Pass
-14,31,,,,,,Pass
-13,31,,,,,,Pass
-12,31,,,,,,Pass
-11,31,,,,,,Pass
-9,31,,,,,,Pass
-8,31,,,,,,Pass
-7,31,,,,,,Pass
-6,31,,,,,,Pass
-5,31,,,,,,Pass
-4,31,,,,,,Pass
-3,31,,,,,,Pass
-1,31,,,,,,Pass
0,31,,,,,,Pass
1,31,,,,,,Pass
2,31,,,,,,Pass
3,31,,,,,,Pass
4,31,,,,,,Pass
5,31,,,,,,Pass
6,31,,,,,,Pass
7,31,,,,,,Pass
8,31,,,,,,Pass
9,31,,,,,,Pass
10,31,,,,,,Pass
11,31,,,,,,Pass
12,31,,,,,,Pass
13,31,,,,,,Pass
14,31,,,,,,Pass
15,31,,,,,,Pass
16,31,,,,,,Pass
17,31,,,,,,Pass
18,31,,,,,,Pass
19,31,,,,,,Pass
20,31,,,,,,Pass
21,31,,,,,,Pass
23,31,,,,,,Pass
24,31,,,,,,Pass
25,31,,,,,,Pass
26,31,,,,,,Pass
27,31,,,,,,Pass
28,31,,,,,,Pass
29,31,,,,,,Pass
30,31,,,,,,Pass
31,31,,,,,,Pass
31,30,,,,,,Pass
30,30,,,,,,Pass
29,30,,,,,,Pass
28,30,,,,,,Pass
27,30,,,,,,Pass
26,30,,,,,,Pass
25,30,,,,,,Pass
24,30,,,,,,Pass
23,30,,,,,,Pass
22,30,,,,,,Pass
21,30,,,,,,Pass
20,30,,,,,,Pass
19,30,,,,,,Pass
18,30,,,,,,Pass
17,30,,,,,,Pass
16,30,,,,,,Pass
15,30,,,,,,Pass
14,30,,,,,,Pass
13,30,,,,,,Pass
12,30,,,,,,Pass
11,30,,,,,,Pass
10,30,,,,,,Pass
9,30,,,,,,Pass
8,30,,,,,,Pass
7,30,,,,,,Pass
6,30,,,,,,Pass
5,30,,,,,,Pass
4,30,,,,,,Pass
2,30,,,,,,Pass
1,30,,,,,,Pass
0,30,,,,,,Pass
-1,30,,,,,,Pass
-2,30,,,,,,Pass
-3,30,,,,,,Pass
-4,30,,,,,,Pass
-5,30,,,,,,Pass
-6,30,,,,,,Pass
-7,30,,,,,,Pass
-8,30,,,,,,Pass
-9,30,,,,,,Pass
-10,30,,,,,,Pass
-11,30,,,,,,Pass
-12,30,,,,,,Pass
-13,30,,,,,,Pass
-14,30,,,,,,Pass
-15,30,,,,,,Pass
-16,30,,,,,,Pass
-17,30,,,,,,Pass
-18,30,,,,,,Pass
-19,30,,,,,,Pass
-19,29,,,,,,Pass
-18,29,,,,,,Pass
-17,29,,,,,,Pass
-16,29,,,,,,Pass
-15,29,,,,,,Pass
-14,29,,,,,,Pass
-13,29,,,,,,Pass
-12,29,,,,,,Pass
-11,29,,,,,,Pass
-10,29,,,,,,Pass
